Contract ID,Reference IDV,Modification Number,Transaction Number,Award/IDV Type,Action Obligation ($),Date Signed,Solicitation Date,Contracting Agency ID,Contracting Agency,Contracting Office Name,PSC Type,PSC,PSC Description,NAICS,NAICS Description,Entity City,Entity State,Entity ZIP Code,Additional Reporting Code,Additional Reporting Description,Unique Entity ID,Ultimate Parent Unique Entity ID,Ultimate Parent Legal Business Name,Legal Business Name,CAGE Code
1,SP451013D0007,0,0,DO Delivery Order,"$28,022.70 ",23-Jul-13,,97AS,DEFENSE LOGISTICS AGENCY,DLA DISPOSITION SERVICES -  EBS,S,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,541930,TRANSLATION AND INTERPRETATION SERVICES,OAK PARK,MI,482371297,,,H8MPTGGVM3S7,H8MPTGGVM3S7,SCOTT GROUP  LLC,"SCOTT GROUP, LLC",
1,SPE4A715D0413,0,0,DO Delivery Order,"$29,819.65 ",14-Aug-15,,97AS,DEFENSE LOGISTICS AGENCY,DLA AVIATION,P,1670,"PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT",332313,PLATE WORK MANUFACTURING,DECATUR,GA,300353924,,,UGJUUL9ZXGM9,UGJUUL9ZXGM9,DAWSON PRECISION  LLC,"DAWSON PRECISION, LLC",
1,W911QY16D0031,0,0,DO Delivery Order,"$152,256.00 ",16-Jun-16,,2100,DEPT OF THE ARMY,W6QK ACC-APG NATICK,S,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,561730,LANDSCAPING SERVICES,LEOMINSTER,MA,14537021,,,XN2TFGKCHQG6,XN2TFGKCHQG6,GVC CONSTRUCTION AND ENGINEERING  INC.,"GVC CONSTRUCTION AND ENGINEERING, INC.",
1,W911QY17D0004,0,0,DO Delivery Order,"$408,838.00 ",23-Nov-16,,2100,DEPT OF THE ARMY,W6QK ACC-APG NATICK,S,V112,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LEOMINSTER,MA,14537021,,,XN2TFGKCHQG6,XN2TFGKCHQG6,GVC CONSTRUCTION AND ENGINEERING  INC.,"GVC CONSTRUCTION AND ENGINEERING, INC.",
1,W911RZ11A0012,0,0,BPA Call Blanket Purchase Agreement,"$9,225.00 ",25-Jul-11,,2100,DEPT OF THE ARMY,W6QM MICC-FT CARSON,S,V301,RELOCATION SERVICES,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,ARVADA,CO,804037541,,,JYF6KB1E5Z76,JYF6KB1E5Z76,SAMORA  INC.,"SAMORA, INC.",
1,W911RZ11A0013,0,0,BPA Call Blanket Purchase Agreement,"$46,482.00 ",20-Jul-11,,2100,DEPT OF THE ARMY,W6QM MICC-FT CARSON,S,V301,RELOCATION SERVICES,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,EVERGREEN,CO,804397461,,,VFFYUL12NDQ1,VFFYUL12NDQ1,CREATIVE FACILITY SERVICES,CREATIVE FACILITY SERVICES,
1,W911RZ15D0001,0,0,DO Delivery Order,"$17,950.00 ",23-Feb-15,,2100,DEPT OF THE ARMY,W6QM MICC-FT CARSON,S,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,541930,TRANSLATION AND INTERPRETATION SERVICES,LAUREL,MD,207081704,,,MWF1NF9E9375,MWF1NF9E9375,HOMELAND SECURITY AND MANAGEMENT SOLUTIONS,HOMELAND SECURITY AND MANAGEMENT SOLUTIONS,
1,W911SA12D0006,0,0,DO Delivery Order,"$8,013.75 ",30-Jul-12,,2100,DEPT OF THE ARMY,W6QM MICC FT MCCOY (RC),S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,238220,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",MILWAUKEE,WI,532041745,,,H5JMGMFKPP22,H5JMGMFKPP22,ALLCON  LLC,"ALLCON, LLC",
1,W911SA12D0013,0,0,DO Delivery Order,"$8,865.92 ",22-Sep-12,,2100,DEPT OF THE ARMY,W6QM MICC FT MCCOY (RC),S,Z2PZ,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,EAU CLAIRE,WI,547019119,,,UC3PAHDMGCG6,UC3PAHDMGCG6,MJF CONTRACTING LLC,MJF CONTRACTING LLC,
1,W911SD12D0001,0,0,DO Delivery Order,"$2,360.00 ",7-Feb-12,,2100,DEPT OF THE ARMY,W6QM MICC-WEST POINT,S,F101,ENVIRONMENTAL SYSTEMS PROTECTION- AIR QUALITY SUPPORT,541330,ENGINEERING SERVICES,PORTSMOUTH,NH,38015645,,,JMDHVEZJ9RT9,JMDHVEZJ9RT9,ABSOLUTE RESOURCE ASSOCIATES  LLC,"ABSOLUTE RESOURCE ASSOCIATES, LLC",
1,W911SF12D0013,0,0,DO Delivery Order,"$156,764.80 ",30-Aug-12,,2100,DEPT OF THE ARMY,W6QM MICC-FT MOORE,S,R799,SUPPORT- MANAGEMENT: OTHER,541620,ENVIRONMENTAL CONSULTING SERVICES,ATLANTA,GA,303071506,,,MQ56JWF48BX5,MQ56JWF48BX5,STELLA,STELLA,
1,W9124816D0001,0,0,DO Delivery Order,"$3,610.00 ",2-Mar-16,,2100,DEPT OF THE ARMY,W6QM MICC-FT CAMPBELL,S,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,561730,LANDSCAPING SERVICES,VIRGINIA BEACH,VA,23454,,,P93NJ9EEP762,P93NJ9EEP762,TAYLOR PROGRESSIVE SERVICES,TAYLOR PROGRESSIVE SERVICES,
1,W9124J17D0011,0,0,DO Delivery Order,"$56,480.00 ",22-Sep-17,,2100,DEPT OF THE ARMY,W6QM MICC-FDO FT SAM HOUSTON,S,R607,SUPPORT- ADMINISTRATIVE: WORD PROCESSING/TYPING,561410,DOCUMENT PREPARATION SERVICES,WASHINGTON,DC,200016700,,,LK2GCMGHC5F9,LK2GCMGHC5F9,JRH CONSULTANTS LLC,JRH CONSULTANTS LLC,6XYV2
1,W9126G12D0026,0,0,DO Delivery Order,"$3,000.00 ",27-Sep-12,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT FT WORTH,S,F999,OTHER ENVIRONMENTAL SERVICES,541620,ENVIRONMENTAL CONSULTING SERVICES,DERIDDER,LA,706342150,,,UC1GH4UJZ3B3,UC1GH4UJZ3B3,QUANTITATIVE ECOLOGICAL SERVICES  INC.,"QUANTITATIVE ECOLOGICAL SERVICES, INC.",
1,W9126G16D0001,0,0,DO Delivery Order,"$2,500.00 ",10-Aug-16,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT FT WORTH,S,C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",541330,ENGINEERING SERVICES,CORPUS CHRISTI,TX,784042331,,,LNW7LW9L1DY8,LNW7LW9L1DY8,AGCM INC,AGCM INC,
1,W9126G17D0017,0,0,DO Delivery Order,"$2,500.00 ",24-Feb-17,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT FT WORTH,S,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,HOUSTON,TX,770636305,,,M1A8PJHUJHB5,M1A8PJHUJHB5,KENALL-FREESE AND NICHOLS 8A MENTOR-PROTEGE JOINT VENTURE,KENALL-FREESE AND NICHOLS 8A MENTOR-PROTEGE JOINT VENTURE,7GBQ8
1,W9127817D0017,0,0,DO Delivery Order,"$32,561.78 ",14-Feb-17,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT MOBILE,S,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,HUNTSVILLE,AL,358063656,,,PJ5CEW8695Y1,PJ5CEW8695Y1,SEABROOK SOLUTIONS  LLC,"SEABROOK SOLUTIONS, LLC",6V1Z6
1,W9127S13D0010,0,0,DO Delivery Order,"$164,373.40 ",28-May-13,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT LITTLE RO,S,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,561730,LANDSCAPING SERVICES,FLORENCE,AL,356305419,,,WUZDC37B5FC8,WUZDC37B5FC8,BASE SERVICE GROUP  L.L.C.,"BASE SERVICE GROUP, L.L.C.",
1,W9128F15D0026,0,0,DO Delivery Order,"$2,500.00 ",12-Jun-15,,2100,DEPT OF THE ARMY,W071 ENDIST OMAHA,S,Z1JZ,MAINTENANCE OF MISCELLANEOUS BUILDINGS,238160,ROOFING CONTRACTORS,LOS ANGELES,CA,900622104,,,P6JNKVNA2XS7,P6JNKVNA2XS7,COLEMAN CONSTRUCTION  INC.,"COLEMAN CONSTRUCTION, INC.",
1,W912BV12D0030,0,0,DO Delivery Order,"$298,348.94 ",23-Aug-12,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT TULSA,S,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,BROOMFIELD,CO,800212717,,,M3EFASR74Y88,M3EFASR74Y88,AYUDA MANAGEMENT CORPORATION,AYUDA MANAGEMENT CORPORATION,
1,W912BV12D0031,0,0,DO Delivery Order,"$3,000.00 ",23-Aug-12,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT TULSA,S,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,SAN ANTONIO,TX,782081419,,,M2E1GSPM2QV4,M2E1GSPM2QV4,BEJARANO CONSTRUCTION SERVICES INC,"BEJARANO CONSTRUCTION SERVICES, INC",
1,W912BV12D0032,0,0,DO Delivery Order,"$3,000.00 ",23-Aug-12,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT TULSA,S,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,BROKEN ARROW,OK,740123938,,,J9B5J1JFPEK3,J9B5J1JFPEK3,C3  LLC,"C3, LLC",
1,W912BV12D0033,0,0,DO Delivery Order,"$3,000.00 ",14-Sep-12,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT TULSA,S,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,PRATTVILLE,AL,360665624,,,CVMKDBGAMH24,CVMKDBGAMH24,CLEMENT CONTRACTING GROUP  INC.,"CLEMENT CONTRACTING GROUP, INC.",
1,W912EP16D0003,0,0,DO Delivery Order,"$21,873.31 ",5-Apr-16,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT JACKSONVI,S,C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",541370,SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,BRADENTON,FL,342119509,,,DEFMMU5PBE45,DEFMMU5PBE45,HYATT SURVEY SERVICES INC,HYATT SURVEY SERVICES INC,
1,W912HZ15A0043,0,0,BPA Call Blanket Purchase Agreement,"$43,150.00 ",9-Sep-15,,2100,DEPT OF THE ARMY,W2R2 USA ENGR R AND D CTR,S,R799,SUPPORT- MANAGEMENT: OTHER,541380,TESTING LABORATORIES,PORTSMOUTH,NH,38015645,,,JMDHVEZJ9RT9,JMDHVEZJ9RT9,ABSOLUTE RESOURCE ASSOCIATES  LLC,"ABSOLUTE RESOURCE ASSOCIATES, LLC",
1,W912HZ15A0051,0,0,BPA Call Blanket Purchase Agreement,"$28,460.00 ",18-Dec-15,,2100,DEPT OF THE ARMY,W2R2 USA ENGR R AND D CTR,S,R799,SUPPORT- MANAGEMENT: OTHER,541380,TESTING LABORATORIES,RICHMOND,VA,232373723,,,C5QNX45KHXH5,C5QNX45KHXH5,"AIR, WATER AND SOIL LABORATORIES, INC.","AIR, WATER AND SOIL LABORATORIES, INC.",
1,W912QR13D0044,0,0,DO Delivery Order,"$87,073.35 ",23-Sep-13,,2100,DEPT OF THE ARMY,US ARMY ENGINEER DISTRICT LOUISVILL,S,C211,"ARCHITECT AND ENGINEERING- GENERAL: LANDSCAPING, INTERIOR LAYOUT, AND DESIGNING",541330,ENGINEERING SERVICES,INDIANAPOLIS,IN,462391196,,,S98LMXNJQ285,S98LMXNJQ285,QUALITY ENVIRONMENTAL PROFESSIONALS  INC,"QUALITY ENVIRONMENTAL PROFESSIONALS, INC",
1,W912WJ16D0006,0,0,DO Delivery Order,"$10,000.00 ",16-May-16,,2100,DEPT OF THE ARMY,W2SD ENDIST NEW ENGLAND,S,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,541330,ENGINEERING SERVICES,MARLBOROUGH,MA,17525900,,,PUKXFW1WE5M4,PUKXFW1WE5M4,CEI-PARS NORTH ATLANTIC LLC,CEI-PARS NORTH ATLANTIC LLC,
1,SECHQ113D0030,1,0,DO Delivery Order,$0.00 ,16-Dec-13,,5000,SECURITIES AND EXCHANGE COMMISSION,SECURITIES AND EXCHANGE COMMISSION,S,R499,SUPPORT- PROFESSIONAL: OTHER,541613,MARKETING CONSULTING SERVICES,OAKLAND,CA,946073705,,,E4TGG89HNBJ7,E4TGG89HNBJ7,RENAE GRIFFIN & ASSOCIATES  INC.,"RENAE GRIFFIN & ASSOCIATES, INC.",
1,FA252116D0002,1,0,DO Delivery Order,$0.00 ,18-Mar-16,,5700,DEPT OF THE AIR FORCE,FA2521  45 CONS LGC,S,Z2NE,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,237110,WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,HALLANDALE BEACH,FL,330094209,,,UNFZG6Z8BWF7,UNFZG6Z8BWF7,ATLANTIC ICON  CORP.,"ATLANTIC ICON, CORP.",
1,FA302013D0013,1,0,DO Delivery Order,"($1,500.00)",22-Apr-15,,5700,DEPT OF THE AIR FORCE,FA3020  82 CONS LGC,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION,SPRINGTOWN,TX,760822770,,,PCYUT68V6TW9,PCYUT68V6TW9,NAE IMPERIAL JV 2,NAE IMPERIAL JV 2,
1,FA930113D0006,1,0,DO Delivery Order,"$3,711.00 ",23-Apr-13,,5700,DEPT OF THE AIR FORCE,FA9301  AFTC PZIO,S,S206,HOUSEKEEPING- GUARD,561612,SECURITY GUARDS AND PATROL SERVICES,IRVINE,CA,926182210,,,J5VMNYWNPM35,J5VMNYWNPM35,NORTHSTAR TECHNOLOGY CORP,NORTHSTAR TECHNOLOGY CORP,
1,H9821014D0001,1,0,DO Delivery Order,"$240,403.20 ",28-Sep-15,,9748,DEFENSE HUMAN RESOURCES ACTIVITY,DEFENSE HUMAN RESOURCES ACTIVITY,S,R699,SUPPORT- ADMINISTRATIVE: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MCLEAN,VA,221023373,,,GKWTAHYKMC62,GKWTAHYKMC62,Endyna  Inc.,"ENDYNA, INC.",
1,N4008512D4804,1,0,DO Delivery Order,"$2,059.00 ",27-Apr-12,,1700,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,S,Z2NE,REPAIR OR ALTERATION OF WATER SUPPLY FACILITIES,238910,SITE PREPARATION CONTRACTORS,WORCESTER,MA,16103252,,,NEXBSWDG9MF1,NEXBSWDG9MF1,TANTARA ASSOCIATES CORPORATION,TANTARA ASSOCIATES CORPORATION,
1,N4008515D6121,1,0,DO Delivery Order,"$144,453.00 ",9-May-16,,1700,DEPT OF THE NAVY,NAVAL FAC ENGINEERING CMD MID LANT,S,P400,SALVAGE- DEMOLITION OF BUILDINGS,238910,SITE PREPARATION CONTRACTORS,LEOMINSTER,MA,14537021,,,XN2TFGKCHQG6,XN2TFGKCHQG6,GVC CONSTRUCTION AND ENGINEERING  INC.,"GVC CONSTRUCTION AND ENGINEERING, INC.",
1,N6247314D2201,1,0,DO Delivery Order,"($5,000.00)",7-Sep-14,,1700,DEPT OF THE NAVY,NAVFAC SOUTHWEST,S,Z2EZ,REPAIR OR ALTERATION OF OTHER INDUSTRIAL BUILDINGS,238160,ROOFING CONTRACTORS,GARDEN GROVE,CA,928433714,,,MLMVEKLJ7K28,MLMVEKLJ7K28,EXBON DEVELOPMENT  INC.,"EXBON DEVELOPMENT, INC.",
1,N6247315D4406,1,0,DO Delivery Order,"($5,000.00)",28-Aug-15,,1700,DEPT OF THE NAVY,NAVFAC SOUTHWEST,S,Z2PZ,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,238330,FLOORING CONTRACTORS,WILLIAMS,CA,95987,,,MBE3ULFR8WA6,MBE3ULFR8WA6,B.C. SCHMIDT CONSTRUCTION  INC.,"B.C. SCHMIDT CONSTRUCTION, INC.",
1,N6247814D4048,1,0,DO Delivery Order,"($5,000.00)",28-Sep-17,,1700,DEPT OF THE NAVY,NAVFAC ENGINEERING COMMAND HAWAII,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,SAN DIEGO,CA,921225962,,,GSGLJBC5LJK8,GSGLJBC5LJK8,RORE  INC.,"RORE, INC.",3YXL1
1,N6247814D4049,1,0,DO Delivery Order,"($5,000.00)",28-Sep-17,,1700,DEPT OF THE NAVY,NAVFAC ENGINEERING COMMAND HAWAII,S,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,238990,ALL OTHER SPECIALTY TRADE CONTRACTORS,WILLIAMS,CA,95987,,,MBE3ULFR8WA6,MBE3ULFR8WA6,B.C. SCHMIDT CONSTRUCTION  INC.,"B.C. SCHMIDT CONSTRUCTION, INC.",31TS8
1,SP451013D0007,1,0,DO Delivery Order,$0.00 ,4-Nov-14,,97AS,DEFENSE LOGISTICS AGENCY,DLA DISPOSITION SERVICES -  EBS,S,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTERPRETING,541930,TRANSLATION AND INTERPRETATION SERVICES,OAK PARK,MI,482371297,,,H8MPTGGVM3S7,H8MPTGGVM3S7,SCOTT GROUP  LLC,"SCOTT GROUP, LLC",
1,SPE4A715D0413,1,0,DO Delivery Order,$0.00 ,25-Jan-16,,97AS,DEFENSE LOGISTICS AGENCY,DLA AVIATION,P,1670,"PARACHUTES; AERIAL PICK UP, DELIVERY, RECOVERY SYSTEMS; AND CARGO TIE DOWN EQUIPMENT",332313,PLATE WORK MANUFACTURING,DECATUR,GA,300353924,,,UGJUUL9ZXGM9,UGJUUL9ZXGM9,DAWSON PRECISION  LLC,"DAWSON PRECISION, LLC",
1,W911QY16D0031,1,0,DO Delivery Order,"$6,344.00 ",24-Sep-16,,2100,DEPT OF THE ARMY,W6QK ACC-APG NATICK,S,S208,HOUSEKEEPING- LANDSCAPING/GROUNDSKEEPING,561730,LANDSCAPING SERVICES,LEOMINSTER,MA,14537021,,,XN2TFGKCHQG6,XN2TFGKCHQG6,GVC CONSTRUCTION AND ENGINEERING  INC.,"GVC CONSTRUCTION AND ENGINEERING, INC.",
1,W911QY17D0004,1,0,DO Delivery Order,"$70,000.00 ",28-Mar-17,,2100,DEPT OF THE ARMY,W6QK ACC-APG NATICK,S,V112,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,484110,"GENERAL FREIGHT TRUCKING, LOCAL",LEOMINSTER,MA,14537021,,,XN2TFGKCHQG6,XN2TFGKCHQG6,GVC CONSTRUCTION AND ENGINEERING  INC.,"GVC CONSTRUCTION AND ENGINEERING, INC.",4ARP0
1,W911RZ11A0013,1,0,BPA Call Blanket Purchase Agreement,"$8,895.84 ",5-Aug-11,,2100,DEPT OF THE ARMY,W6QM MICC-FT CARSON,S,V301,RELOCATION SERVICES,484210,USED HOUSEHOLD AND OFFICE GOODS MOVING,EVERGREEN,CO,804397461,,,VFFYUL12NDQ1,VFFYUL12NDQ1,CREATIVE FACILITY SERVICES,CREATIVE FACILITY SERVICES,
